patient_id,first_name,last_name,dob,ssn,diagnosis,admit_date,discharge_date
1,John,Doe,1980-05-12,123-45-6789,Hypertension,2024-01-10,2024-01-15
2,Jane,Smith,1990-07-22,987-65-4321,Diabetes,2024-02-15,2024-02-18
3,Bob,Johnson,1975-03-30,555-66-7777,Asthma,2024-03-20,2024-03-25
4,Alice,Williams,1985-11-05,222-33-4444,Flu,2024-04-02,2024-04-05
5,Michael,Brown,1968-09-17,666-77-8888,Heart Disease,2024-05-10,2024-05-20
6,Emily,Davis,2000-01-25,999-00-1111,Allergy,2024-06-01,2024-06-03
7,Liam,Wilson,1978-04-12,111-22-3333,Diabetes,2024-01-05,2024-01-10
8,Olivia,Moore,1983-06-18,444-55-6666,Asthma,2024-02-12,2024-02-17
9,Noah,Taylor,1992-12-30,777-88-9999,Flu,2024-03-01,2024-03-04
10,Emma,Anderson,1989-09-09,222-44-6666,Allergy,2024-04-15,2024-04-18
11,William,Thomas,1972-03-23,333-55-7777,Hypertension,2024-01-20,2024-01-25
12,Ava,Jackson,1995-11-11,888-00-1111,Diabetes,2024-02-18,2024-02-21
13,James,White,1981-07-07,555-77-8888,Heart Disease,2024-03-05,2024-03-15
14,Sophia,Harris,1999-05-05,444-66-9999,Asthma,2024-04-20,2024-04-25
15,Benjamin,Martin,1987-10-10,111-33-5555,Flu,2024-05-01,2024-05-04
16,Isabella,Thompson,1993-08-08,222-44-7777,Allergy,2024-06-05,2024-06-08
17,Lucas,Garcia,1984-02-02,333-55-1111,Heart Disease,2024-01-12,2024-01-18
18,Mia,Martinez,1991-12-12,666-88-0000,Hypertension,2024-02-22,2024-02-27
19,Mason,Robinson,1976-09-09,777-99-1111,Diabetes,2024-03-10,2024-03-15
20,Charlotte,Clark,1988-04-04,888-00-2222,Asthma,2024-04-25,2024-04-30
21,Ethan,Lewis,1980-06-06,111-22-4444,Flu,2024-05-10,2024-05-13
22,Amelia,Lee,1992-07-07,333-44-5555,Allergy,2024-06-12,2024-06-15
23,Alexander,Walker,1975-03-03,555-66-1111,Heart Disease,2024-01-02,2024-01-08
24,Harper,Hall,1986-05-05,777-88-2222,Hypertension,2024-02-05,2024-02-10
25,Daniel,Allen,1990-09-09,888-99-3333,Diabetes,2024-03-15,2024-03-20
26,Evelyn,Young,1994-12-12,111-22-5555,Asthma,2024-04-02,2024-04-07
27,Matthew,Hernandez,1982-08-08,222-33-6666,Flu,2024-05-05,2024-05-10
28,Elizabeth,King,1989-01-01,333-44-7777,Allergy,2024-06-01,2024-06-04
29,David,Wright,1977-02-02,444-55-8888,Heart Disease,2024-01-15,2024-01-22
30,Sofia,Lopez,1996-03-03,555-66-9999,Hypertension,2024-02-12,2024-02-17
31,Joseph,Hill,1985-07-07,666-77-1111,Diabetes,2024-03-20,2024-03-25
32,Scarlett,Scott,1991-09-09,777-88-2222,Asthma,2024-04-18,2024-04-22
33,Samuel,Green,1983-05-05,888-99-3333,Flu,2024-05-02,2024-05-06
34,Victoria,Adams,1990-11-11,111-22-4444,Allergy,2024-06-10,2024-06-14
35,Henry,Baker,1978-06-06,222-33-5555,Heart Disease,2024-01-05,2024-01-12
36,Lily,Gonzalez,1995-02-02,333-44-6666,Hypertension,2024-02-18,2024-02-23
37,Jackson,Nelson,1981-04-04,444-55-7777,Diabetes,2024-03-10,2024-03-15
38,Grace,Carter,1987-08-08,555-66-8888,Asthma,2024-04-22,2024-04-27
39,Sebastian,Mitchell,1992-12-12,666-77-9999,Flu,2024-05-12,2024-05-16
40,Hannah,Perez,1990-03-03,777-88-1111,Allergy,2024-06-05,2024-06-09
41,Owen,Roberts,1984-09-09,888-99-2222,Heart Disease,2024-01-18,2024-01-24
42,Aria,Turner,1993-07-07,111-22-3333,Hypertension,2024-02-08,2024-02-12
43,Elijah,Phillips,1979-11-11,222-33-4444,Diabetes,2024-03-05,2024-03-10
44,Zoe,Campbell,1988-01-01,333-44-5555,Asthma,2024-04-01,2024-04-05
45,Caleb,Parker,1991-05-05,444-55-6666,Flu,2024-05-15,2024-05-20
46,Ella,Evans,1994-06-06,555-66-7777,Allergy,2024-06-12,2024-06-15
47,Luke,Edwards,1982-08-08,666-77-8888,Heart Disease,2024-01-02,2024-01-08
48,Madison,Collins,1985-12-12,777-88-9999,Hypertension,2024-02-10,2024-02-14
49,Jack,Stewart,1976-03-03,888-99-1111,Diabetes,2024-03-12,2024-03-18
50,Chloe,Sanchez,1990-09-09,111-22-2222,Asthma,2024-04-08,2024-04-12
51,Levi,Morris,1986-02-14,222-31-4455,Flu,2026-01-07,2026-01-10
52,Nora,Rogers,1997-10-21,333-42-5566,Allergy,2026-01-12,2026-01-14
53,Isaac,Reed,1974-07-03,444-53-6677,Heart Disease,2026-01-15,2026-01-23
54,Aurora,Cook,1998-01-30,555-64-7788,Asthma,2026-01-18,2026-01-21
55,Julian,Morgan,1981-11-09,666-75-8899,Hypertension,2026-01-22,2026-01-27
56,Penelope,Bell,1993-04-16,777-86-9900,Diabetes,2026-01-24,2026-01-29
57,Wyatt,Murphy,1988-08-28,888-97-1011,Flu,2026-02-01,2026-02-04
58,Stella,Bailey,1996-05-12,999-18-2122,Allergy,2026-02-03,2026-02-06
59,Gabriel,Rivera,1979-09-19,111-29-3233,Heart Disease,2026-02-05,2026-02-13
60,Lucy,Cooper,1994-12-02,222-30-4344,Asthma,2026-02-08,2026-02-12
